aX,aY,aZ,gX,gY,gZ
-0.088,-0.174,1.703,51.270,-26.245,-2.991
-0.111,-0.400,1.518,51.086,-50.171,8.362
-0.102,-0.386,1.779,39.246,-66.345,3.235
-0.554,-0.530,1.525,49.255,-45.654,-7.141
-0.036,-0.481,1.942,49.072,-17.700,7.629
-0.241,-0.519,1.904,62.744,-8.484,5.249
-0.085,-0.491,1.931,52.368,8.301,9.521
-0.176,-0.424,1.763,33.447,15.076,16.785
-0.151,-0.348,1.652,17.761,14.954,25.024
-0.171,-0.276,1.487,9.094,15.076,25.391
-0.169,-0.226,1.363,3.418,16.113,22.644
-0.185,-0.156,1.273,-1.953,11.108,19.714
-0.154,-0.123,1.207,-10.254,3.479,15.381
-0.156,-0.168,1.126,-18.677,-1.160,10.803
-0.141,-0.237,1.086,-20.447,-2.380,7.202
-0.115,-0.271,1.107,-10.742,-2.808,4.639
-0.115,-0.280,1.106,0.916,-1.892,4.761
-0.142,-0.262,1.100,5.798,0.671,7.019
-0.183,-0.230,1.097,6.042,3.235,8.301
-0.189,-0.205,1.041,1.404,6.226,6.592
-0.182,-0.189,0.948,-11.475,7.019,3.906
-0.164,-0.194,0.841,-22.400,5.066,3.601
-0.210,-0.195,0.748,-24.719,0.183,3.784
-0.240,-0.224,0.730,-18.005,-3.967,4.822
-0.231,-0.264,0.760,-7.507,-5.249,2.075
-0.207,-0.303,0.811,0.122,-5.737,-0.061
-0.182,-0.336,0.841,0.916,-5.981,0.366
-0.177,-0.338,0.828,-1.892,-4.395,2.319
-0.191,-0.322,0.794,-4.028,-0.977,4.883
-0.181,-0.277,0.806,-4.089,0.610,6.897
-0.192,-0.223,0.820,-1.160,1.343,8.118
-0.209,-0.158,0.837,2.197,2.625,8.545
-0.228,-0.134,0.835,5.615,2.930,6.348
-0.226,-0.143,0.848,6.531,2.075,3.540
-0.197,-0.166,0.866,4.700,-1.465,1.099
-0.206,-0.190,0.918,4.456,-4.028,-0.732
-0.204,-0.214,0.957,5.737,-1.892,-1.587
-0.196,-0.256,0.964,4.822,0.916,-2.625
-0.177,-0.302,0.972,2.014,2.136,-2.441
-0.164,-0.326,0.974,0.916,2.380,-0.793
-0.165,-0.324,0.959,2.075,4.333,1.648
-0.159,-0.308,0.938,3.418,6.409,3.540
-0.167,-0.268,0.949,3.906,6.409,4.944
-0.165,-0.228,0.966,2.808,5.981,5.676
-0.169,-0.200,0.957,-0.488,5.981,4.822
-0.178,-0.181,0.943,-3.296,5.737,3.967
-0.131,-0.156,0.991,-2.991,4.456,2.686
-0.176,-0.193,0.961,1.526,4.944,-0.183
-0.139,-0.212,1.001,4.272,6.348,-1.221
-0.145,-0.238,1.027,5.127,7.019,-2.075
-0.123,-0.249,1.015,5.066,9.644,-2.258
-0.134,-0.263,0.993,4.089,10.559,-2.747
-0.160,-0.291,0.957,3.601,10.071,-3.662
-0.138,-0.282,0.937,3.113,7.874,-4.150
-0.127,-0.286,0.931,3.967,4.944,-3.784
-0.127,-0.278,0.923,6.165,3.235,-3.357
-0.097,-0.252,0.933,5.188,2.563,-2.380
-0.118,-0.240,0.917,2.747,1.831,-2.319
-0.109,-0.227,0.922,-0.244,0.854,-3.052
-0.115,-0.230,0.932,-1.221,-0.183,-3.723
-0.127,-0.215,0.953,0.305,-0.427,-3.784
-0.149,-0.227,0.982,3.113,0.366,-3.235
-0.152,-0.269,0.997,4.578,1.587,-3.235
-0.150,-0.319,0.996,0.061,2.136,-3.601
-0.152,-0.387,0.965,-6.165,1.953,-3.052
-0.130,-0.440,0.922,-10.315,1.831,-1.648
-0.125,-0.457,0.876,-9.399,2.014,0.793
-0.095,-0.430,0.833,-3.052,2.319,4.211
-0.020,-0.578,2.390,-11.597,-21.057,0.427
0.029,-0.528,2.615,-25.146,-13.733,8.057
0.054,-0.438,2.798,-40.466,-0.793,17.822
