aX,aY,aZ,gX,gY,gZ
0.084,0.462,-0.769,-23.071,-18.127,24.719
0.061,0.468,-0.765,-16.052,-5.920,25.940
0.065,0.477,-0.762,-9.094,2.136,23.132
0.078,0.471,-0.769,-6.775,2.502,18.127
0.087,0.458,-0.755,-8.301,-2.808,11.597
0.104,0.416,-0.745,-10.010,-8.179,4.944
0.133,0.343,-0.739,-10.803,-9.827,2.319
0.160,0.307,-0.753,-12.878,-5.676,4.883
0.151,0.351,-0.845,-16.663,2.686,13.672
0.108,0.417,-0.916,-17.395,12.268,25.391
0.057,0.510,-1.003,-16.968,23.193,34.790
-0.005,0.614,-1.093,-13.489,34.119,39.063
0.020,0.789,-1.469,-11.414,39.063,36.499
-0.332,1.130,-1.814,-23.560,6.897,16.663
-0.194,0.785,-1.104,-20.447,-61.523,-11.780
0.044,0.505,-0.906,0.671,-25.818,-23.865
0.139,0.388,-0.852,14.465,21.179,-19.775
0.149,0.396,-0.969,29.358,37.354,-4.700
0.121,0.421,-1.001,29.541,34.912,5.737
0.093,0.453,-0.979,17.212,20.630,7.812
0.047,0.457,-0.965,8.667,2.747,3.723
0.025,0.455,-0.917,8.972,-5.920,-0.610
0.034,0.469,-0.880,12.573,-3.113,-2.747
0.029,0.505,-0.857,13.611,-2.502,-4.150
0.026,0.520,-0.860,10.803,-4.822,-5.737
0.039,0.509,-0.875,8.179,-5.493,-7.385
0.057,0.510,-0.924,8.911,-1.648,-7.263
0.068,0.525,-0.982,11.780,3.662,-5.737
0.069,0.558,-1.060,13.489,6.897,-3.601
0.043,0.627,-1.163,13.184,7.935,-1.282
0.009,0.705,-1.262,13.245,6.470,-0.793
-0.015,0.757,-1.329,17.578,2.197,-4.028
-0.026,0.774,-1.347,26.245,-3.174,-10.864
-0.024,0.763,-1.342,36.194,-7.019,-19.104
-0.010,0.761,-1.309,45.227,-7.935,-25.391
0.005,0.743,-1.293,53.650,-6.409,-29.053
0.006,0.724,-1.304,60.486,-4.944,-30.273
0.002,0.733,-1.354,64.636,-2.380,-28.564
-0.015,0.747,-1.441,67.932,1.465,-25.146
-0.057,0.789,-1.573,71.228,5.493,-21.118
-0.109,0.903,-1.752,74.890,9.705,-16.296
-0.167,1.031,-1.921,84.351,12.329,-13.184
-0.248,1.084,-2.043,103.088,11.902,-16.357
-0.332,1.124,-2.173,122.803,7.996,-23.254
-0.436,1.198,-2.287,137.268,0.305,-31.372
-0.541,1.239,-2.377,148.193,-11.963,-42.114
-0.619,1.249,-2.410,159.729,-27.954,-55.969
-0.673,1.197,-2.401,172.974,-44.128,-72.144
-0.684,1.045,-2.368,186.523,-58.533,-88.989
-0.671,0.845,-2.303,197.021,-73.364,-102.722
-0.653,0.679,-2.208,205.322,-90.210,-112.244
-0.626,0.295,-1.842,236.938,-121.399,-130.371
-0.601,0.068,-1.615,258.789,-130.676,-143.677
-0.573,-0.186,-1.394,280.151,-138.367,-158.936
-0.574,-0.422,-1.227,295.410,-142.151,-171.875
-0.547,-0.597,-1.066,306.702,-140.808,-177.917
-0.441,-0.601,-0.845,314.758,-137.329,-180.481
-0.388,-0.497,-0.646,321.472,-132.874,-182.922
-0.378,-0.510,-0.483,324.097,-127.869,-184.875
-0.306,-0.599,-0.341,318.787,-126.099,-189.880
-0.225,-0.630,-0.195,305.237,-129.700,-196.167
-0.157,-0.609,-0.064,290.405,-133.362,-194.641
-0.124,-0.576,0.060,280.457,-130.920,-186.707
-0.103,-0.542,0.158,276.917,-120.422,-181.641
-0.070,-0.503,0.261,278.137,-105.347,-180.908
-0.008,-0.512,0.387,279.175,-90.942,-182.495
0.072,-0.513,0.521,275.208,-82.092,-187.012
0.139,-0.530,0.643,264.465,-79.590,-192.322
0.231,-0.551,0.729,251.526,-80.505,-195.679
0.302,-0.505,0.848,238.770,-81.360,-197.144
0.353,-0.540,0.943,230.835,-80.750,-199.402
0.418,-0.616,1.011,222.473,-79.468,-204.956
0.462,-0.740,1.091,211.121,-82.642,-213.684
0.527,-0.968,1.265,196.472,-93.689,-224.792
0.693,-1.263,1.471,176.392,-105.957,-236.328
0.842,-1.547,1.728,154.846,-109.497,-240.295
0.970,-1.759,1.880,136.292,-104.614,-227.539
1.043,-1.902,2.011,116.577,-93.323,-195.801
1.137,-1.988,2.034,94.116,-59.631,-153.564
1.332,-1.959,1.984,65.857,-18.860,-105.713
1.409,-1.782,1.848,28.503,13.428,-50.659
1.310,-1.517,1.640,-8.789,33.630,12.756
1.074,-1.311,1.421,-37.659,45.166,74.890
0.948,-1.090,1.279,-54.260,57.190,117.004
0.824,-0.907,1.181,-63.049,64.819,136.780
0.739,-0.769,1.102,-72.876,66.528,145.203
0.690,-0.655,1.054,-88.196,64.575,148.865
0.641,-0.558,0.995,-106.689,61.096,149.353
0.620,-0.475,0.943,-125.000,59.387,147.888
0.586,-0.418,0.877,-141.052,58.167,147.522
0.546,-0.405,0.793,-154.114,61.401,147.156
0.571,-0.396,0.725,-165.466,64.575,147.644
0.572,-0.377,0.675,-176.697,64.941,151.184
0.542,-0.357,0.607,-187.744,66.101,159.058
0.510,-0.311,0.512,-197.571,70.313,169.556
0.460,-0.254,0.414,-204.712,73.059,182.007
0.374,-0.177,0.315,-209.534,74.829,192.383
0.292,-0.112,0.224,-212.158,76.599,197.632
0.242,-0.048,0.145,-214.478,77.148,197.876
0.199,-0.001,0.087,-215.515,76.599,194.519
0.177,0.019,0.028,-215.027,77.759,190.918
0.142,-0.013,-0.034,-213.196,80.688,187.988
0.144,-0.027,-0.061,-213.379,81.909,186.707
0.138,-0.053,-0.090,-216.675,81.421,187.439
0.113,-0.044,-0.187,-222.107,87.341,194.458
0.060,0.058,-0.342,-226.440,102.783,209.534
