aX,aY,aZ,gX,gY,gZ
-0.572,-2.169,0.178,25.330,-43.274,165.833
-0.588,-2.140,0.456,30.945,-91.614,168.396
-0.593,-2.067,0.738,35.339,-118.530,169.312
-0.697,-1.865,1.013,46.753,-127.991,170.532
-0.792,-1.633,1.160,61.646,-119.690,168.701
-0.971,-1.250,1.269,68.115,-104.797,165.039
-1.135,-0.763,1.336,57.861,-99.548,160.522
-1.236,-0.364,1.370,29.846,-99.670,156.128
-1.288,-0.029,1.412,-1.953,-89.600,153.687
-1.244,0.342,1.413,-15.808,-62.317,154.541
-1.202,0.699,1.404,-4.639,-22.034,161.560
-1.139,1.136,1.371,22.400,26.245,169.128
-1.179,1.711,1.331,57.007,70.374,179.077
-1.382,2.511,1.391,92.834,101.929,194.641
-1.827,3.466,1.563,134.766,123.047,215.088
-2.574,4.000,1.757,171.997,138.733,230.469
-3.230,4.000,1.587,172.241,146.362,194.885
-3.143,4.000,1.038,90.088,124.023,62.866
-2.509,3.397,0.541,-48.279,36.438,-107.605
-1.766,1.769,0.546,-162.781,-103.516,-236.206
-0.898,0.170,0.901,-203.186,-209.839,-308.716
-0.016,-1.207,1.278,-168.457,-233.398,-325.562
0.726,-2.219,1.529,-86.609,-189.331,-292.969
1.300,-2.777,1.677,-16.296,-128.052,-231.812
1.484,-2.854,1.796,10.193,-84.290,-163.330
1.518,-2.654,1.801,4.272,-48.645,-97.107
1.363,-2.304,1.622,-11.353,-9.766,-35.706
1.062,-1.786,1.335,-19.043,31.433,19.226
0.687,-1.187,1.074,-16.663,65.613,66.040
0.302,-0.611,0.794,-5.005,88.867,99.121
-0.079,-0.095,0.581,7.141,96.130,114.929
-0.375,0.311,0.482,17.090,86.792,119.019
-0.600,0.581,0.507,23.865,64.941,108.093
-0.720,0.706,0.639,26.917,40.222,86.243
-0.746,0.700,0.802,26.672,18.616,60.730
-0.721,0.583,0.941,21.240,4.333,35.889
-0.697,0.431,1.074,13.977,-3.296,14.038
-0.604,0.224,1.163,9.277,-7.263,-5.920
-0.462,-0.030,1.185,2.563,-8.362,-23.010
-0.304,-0.295,1.175,-7.935,-8.362,-33.691
-0.168,-0.489,1.154,-17.151,-9.644,-36.194
-0.075,-0.594,1.140,-22.522,-9.949,-33.020
-0.004,-0.651,1.086,-24.841,-6.287,-26.428
0.025,-0.640,1.020,-24.719,-1.099,-19.775
0.037,-0.579,0.954,-20.813,2.502,-12.695
0.028,-0.490,0.894,-15.015,5.310,-6.348
0.013,-0.388,0.852,-8.850,7.568,-1.892
-0.029,-0.292,0.830,-3.052,8.423,2.258
-0.071,-0.236,0.807,0.366,8.545,4.761
-0.103,-0.201,0.802,1.282,5.554,4.883
-0.138,-0.177,0.827,1.770,0.000,3.662
-0.144,-0.174,0.862,5.188,-3.967,0.549
-0.125,-0.195,0.906,9.949,-5.371,-2.380
-0.123,-0.215,0.963,12.634,-4.517,-2.075
-0.114,-0.241,0.980,13.000,-2.014,-0.549
-0.132,-0.265,0.988,11.658,0.427,0.549
-0.141,-0.274,1.000,11.353,1.770,1.282
-0.133,-0.274,1.001,10.559,2.075,-0.061
-0.113,-0.275,0.996,6.226,0.061,-2.380
-0.100,-0.273,0.990,0.732,-3.357,-3.113
-0.098,-0.260,0.990,-1.892,-5.066,-3.357
-0.108,-0.252,0.974,0.122,-3.601,-3.418
-0.105,-0.241,0.974,2.991,-1.709,-4.089
-0.096,-0.237,0.984,4.456,-1.404,-5.127
-0.077,-0.237,0.989,4.028,-1.160,-6.653
-0.056,-0.254,0.990,2.563,0.122,-7.019
-0.032,-0.277,0.992,0.671,2.380,-5.737
-0.039,-0.276,1.001,-1.526,4.333,-3.784
-0.048,-0.277,0.982,-4.150,6.836,-2.319
-0.061,-0.289,0.953,-7.446,8.545,-1.709
-0.066,-0.298,0.916,-8.728,8.118,-1.770
-0.059,-0.315,0.907,-6.531,6.470,-1.282
-0.044,-0.307,0.918,-1.587,5.310,-0.610
-0.031,-0.289,0.922,3.052,5.920,0.488
-0.034,-0.273,0.910,4.517,7.690,2.563
-0.058,-0.261,0.901,4.272,8.240,4.333
-0.069,-0.263,0.910,5.493,7.812,4.639
-0.068,-0.267,0.942,7.141,6.897,5.127
-0.072,-0.265,0.962,7.751,6.653,5.737
-0.090,-0.262,0.961,6.042,6.775,5.737
-0.101,-0.266,0.932,3.174,6.042,5.005
-0.109,-0.271,0.926,1.953,3.540,3.906
-0.107,-0.278,0.945,3.845,1.038,2.991
-0.104,-0.273,0.979,7.202,-0.610,2.747
-0.109,-0.258,1.009,9.521,-0.183,2.502
-0.113,-0.240,1.018,8.972,1.831,1.465
-0.101,-0.237,1.012,4.089,2.197,-0.122
-0.095,-0.245,1.002,-3.906,0.122,-0.793
-0.093,-0.258,0.993,-9.644,-1.526,-0.671
-0.094,-0.283,0.981,-10.742,-0.549,-0.244
-0.098,-0.296,0.977,-8.179,0.793,0.305
-0.104,-0.309,0.974,-4.700,1.709,0.488
-0.091,-0.326,0.965,-1.831,2.258,0.671
-0.073,-0.330,0.964,0.244,2.075,-0.122
-0.051,-0.337,0.954,2.258,2.808,-1.221
-0.641,1.500,1.597,44.495,65.247,31.799
-0.891,2.068,1.812,63.171,88.440,31.189
-1.174,2.612,1.960,82.397,124.817,28.931
-1.496,3.110,2.037,90.149,162.292,23.926
-1.890,3.355,2.020,78.552,183.899,14.465
-2.182,3.533,2.037,30.212,175.842,-10.498
-2.610,3.425,2.219,-51.208,138.062,-56.946
-2.802,2.974,1.976,-163.818,101.013,-137.756
-2.904,2.254,1.120,-286.743,83.252,-243.774
-2.735,1.175,0.219,-366.638,41.199,-339.539
-2.111,-0.369,-0.431,-378.784,-40.344,-407.166
-1.178,-2.377,-0.513,-324.341,-133.118,-424.316
-0.227,-4.000,-0.101,-209.595,-199.707,-388.611
0.730,-4.000,0.547,-46.814,-210.205,-329.224
1.672,-4.000,1.180,117.188,-182.190,-255.432
2.407,-4.000,1.784,166.138,-172.974,-185.181
2.570,-4.000,2.139,114.807,-156.189,-115.540
2.812,-4.000,2.134,54.199,-111.511,-44.983
2.877,-4.000,2.183,6.165,-86.853,18.616
2.291,-4.000,1.913,-13.428,-37.231,109.253
1.174,-4.000,1.005,-5.981,75.928,210.571
0.251,-3.543,-0.030,12.573,172.424,275.269
-0.390,-2.621,-0.493,30.396,157.104,291.626
-0.859,-1.742,-0.360,39.551,65.063,288.513
-1.125,-0.948,0.010,43.396,-10.864,283.142
-1.286,-0.482,0.300,58.777,-28.015,276.794
-1.365,-0.144,0.462,77.515,-21.973,260.376
-1.449,-0.029,0.638,80.994,-30.396,240.112
-1.502,0.073,0.864,70.068,-58.167,221.863
-1.624,0.404,1.268,53.040,-92.529,207.520
-1.759,0.797,1.593,48.096,-96.313,197.327
-1.865,1.022,1.731,54.016,-67.200,186.218
-1.890,1.196,1.725,58.655,-25.879,164.673
-1.876,1.458,1.738,60.486,-2.563,139.893
-1.871,1.819,1.781,54.810,-0.671,118.652
